zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,1,0,0.6931471805599453,3.4965075614664802,6.68586094706836
1,0,0,0,1.0986122886681096,3.58351893845611,6.68586094706836
0,0,0,1,1.0986122886681096,5.198497031265826,8.895766604056085
1,0,0,0,1.3862943611198906,5.017279836814924,8.071218539969863
1,0,0,0,1.0986122886681096,4.61512051684126,7.496097345175956
0,0,1,0,1.0986122886681096,3.9318256327243257,7.00397413672268
0,1,0,0,0.6931471805599453,3.713572066704308,6.673297967767654
0,0,0,1,1.0986122886681096,4.51085950651685,7.783640596221253
0,1,0,0,1.791759469228055,4.394449154672439,7.601402334583733
1,0,0,0,1.0986122886681096,4.7535901911063645,8.071218539969863
0,1,0,0,1.0986122886681096,4.51085950651685,6.957497370876951
0,1,0,0,1.0986122886681096,4.564348191467836,7.550135342488429
1,0,0,0,1.0986122886681096,4.61512051684126,7.313886831633462
